var12,drop,year,enpv,enps,eneth,ml,upper,enpres,proximit,lnml,lmleneth,smdp,smdpeth,multi,enpvlml,enpvUpp,multiV,enpvQ,enpvmult,enpvsmdp,proxpres,drop2
"MAURITIUS",0,1983,1.96,2.16,1.8639,3,0,0,0,1.098612,2.047704,0,0,0,2.15328,0,0,0,0,0,0,0
"NETHERLANDS",0,1986,3.7656,3.4877,1.0832,150,0,0,0,5.010635,5.42752,0,0,1,18.86805,0,1,3,3.7656,0,0,1
"NEW Zealand",0,1984,2.9873,1.9838,1.2769,1,0,0,0,0,0,1,1.2769,0,0,0,0,1,0,2.9873,0,0
"NORWAY",0,1985,3.6286,3.0939,1.040799,10,0,0,0,2.302585,2.396529,0,0,1,8.35516,0,1,2,3.6286,0,0,0
"PERU",0,1985,2.9958,2.3182,2.7563,9,0,2.757,1,2.197225,6.05621,0,0,0,6.582446,0,0,1,0,0,2.757,0
"PORTUGAL",0,1983,3.734,3.409,1.0202,16,0,1.958,.05,2.772589,2.828595,0,0,1,10.35285,0,1,2,3.734,0,.0979,0
"SPAIN",0,1986,3.5903,2.8083,1.65071,7,0,0,0,1.94591,3.212133,0,0,1,6.986401,0,1,2,3.5903,0,0,0
"ST.KITTS and Nevis",0,1984,2.4545,2.4644,1.2157,1,0,0,0,0,0,1,1.2157,1,0,0,0,1,2.4545,2.4545,0,0
"ST.LUCIA",0,1987,2.3203,1.9933,1.2202,1,0,0,0,0,0,1,1.2202,0,0,0,0,0,0,2.3203,0,0
"ST.VINCENT & Grenadines",0,1984,2.282,1.743,1.6562,1,0,0,0,0,0,1,1.6562,0,0,0,0,0,0,2.282,0,0
"SWEDEN",0,1985,3.5226,3.3918,1.26,12,0,0,0,2.484907,3.130982,0,0,1,8.753332,0,1,2,3.5226,0,0,0
"SWITZERLAND",0,1983,5.9895,5.2625,2.134,12,0,0,0,2.484907,5.302791,0,0,1,14.88335,0,1,3,5.9895,0,0,0
"TRINIDAD & Tobago",0,1986,1.8444,1.1796,2.7412,1,0,0,0,0,0,1,2.7412,0,0,0,0,0,0,1.8444,0,0
"U.K.",0,1983,3.1166,2.0907,1.4804,1,0,0,0,0,0,1,1.4804,0,0,0,0,1,0,3.1166,0,0
"U.S.A.",0,1984,2.026,1.948,1.3554,1,0,1.958,1,0,0,1,1.3554,0,0,0,0,0,0,2.026,1.958,0
"URUGUAY",1,1989,3.3759,3.3484,1.2781,11,.27272,3.376,1,2.397895,3.06475,0,0,1,8.095055,.9206755,1,2,3.3759,0,3.376,0
"VENEZUELA",0,1983,2.9698,2.4224,1.9864,11,.09,2.194,1,2.397895,4.763179,0,0,0,7.12127,.267282,0,1,0,0,2.194,0
